"Team","Opponent","Shots","Att_rating","Def_rating","Venue","Time"
"wolves","bournemouth",21,74.7142857142857,73.8571428571429,"0",9
"wolves","newcastle",11,75.4285714285714,80.7142857142857,"1",10
"wolves","sheffield",10,75.5714285714286,73.25,"0",11
"wolves","tottenham",17,76.2857142857143,78.2857142857143,"1",12
"wolves","fulham",9,76.2857142857143,75.1428571428571,"0",13
"wolves","arsenal",6,73.4285714285714,83.8,"0",14
"wolves","burnley",7,76.2857142857143,73.6,"1",15
"crystal","sheffield",24,76.125,72.75,"0",1
"crystal","arsenal",14,76.125,84,"1",2
"crystal","brentford",15,76.125,76.8571428571429,"0",3
"crystal","wolves",16,76.125,76.6666666666667,"1",4
"crystal","aston",6,75.75,79.7142857142857,"0",5
"crystal","fulham",7,75.75,77.1666666666667,"1",6
"crystal","manchester united",8,75.75,82.3333333333333,"0",7
"crystal","forest",8,74.75,75.2857142857143,"1",8
"crystal","newcastle",17,75.375,80.7142857142857,"0",9
"crystal","tottenham",13,75.5,79,"1",10
"crystal","burnley",4,75.5,74,"0",11
"crystal","everton",12,75.625,75.2857142857143,"1",12
"crystal","luton",16,76.625,71.125,"0",13
"crystal","west",9,75.4285714285714,78.5714285714286,"0",14
"crystal","bournemouth",16,75.7142857142857,74.4,"1",15
"bournemouth","west",14,74.4285714285714,78.4,"1",1
"bournemouth","liverpool",13,73.8571428571429,84.8,"0",2
"bournemouth","tottenham",11,74.1111111111111,79,"1",3
"bournemouth","brentford",12,74.375,77.2857142857143,"0",4
"bournemouth","chelsea",13,74.2222222222222,78.1428571428571,"1",5
"bournemouth","brighton",12,74.7777777777778,77.8333333333333,"0",6
"bournemouth","arsenal",8,75,83.1666666666667,"1",7
"bournemouth","everton",11,74.5,75.2857142857143,"0",8
"bournemouth","wolves",7,74.2222222222222,74.4285714285714,"1",9
"bournemouth","burnley",13,73.625,73.6,"1",10
"bournemouth","manchester city",5,74.25,84.4285714285714,"0",11
"bournemouth","newcastle",19,73.875,76.125,"1",12
"bournemouth","sheffield",23,74,73.25,"0",13
"bournemouth","aston",15,74.25,80.2857142857143,"1",14
"bournemouth","crystal",11,74.625,76.1428571428571,"0",15
"forest","arsenal",6,75.8333333333333,83.1666666666667,"0",1
"forest","sheffield",16,76.3333333333333,73.5,"1",2
"forest","manchester united",9,76,83.3333333333333,"0",3
"forest","chelsea",7,76,79.375,"0",4
"forest","burnley",14,76.375,74.3333333333333,"1",5
"forest","manchester city",10,76.875,84.1666666666667,"0",6
"forest","brentford",6,76.7142857142857,76.4285714285714,"1",7
"forest","crystal",16,76.25,75.7142857142857,"0",8
"forest","luton",19,76,71.125,"1",9
"forest","liverpool",9,76.4285714285714,82.3333333333333,"0",10
"forest","aston",5,75.625,79.7142857142857,"1",11
"forest","west",10,75.625,78.7142857142857,"0",12
"forest","brighton",17,74.75,75.8571428571429,"1",13
"forest","everton",13,75.75,75.4285714285714,"1",14
"forest","fulham",4,75.125,76.7142857142857,"0",15
"everton","fulham",19,75,75.7142857142857,"1",1
"everton","aston",9,75.2857142857143,79.7142857142857,"0",2
"everton","wolves",15,74.25,76.1666666666667,"1",3
"everton","sheffield",16,75.8571428571429,73.125,"0",4
"everton","arsenal",8,76.8571428571429,82.2857142857143,"1",5
"everton","brentford",18,75.5714285714286,75.8571428571429,"0",6
"everton","luton",23,75.75,71.875,"1",7
"everton","bournemouth",25,75.625,74.8333333333333,"1",8
"everton","liverpool",6,75.625,82.3333333333333,"0",9
"everton","west",10,75.125,78.6666666666667,"0",10
"everton","brighton",10,75.75,76.1428571428571,"1",11
"everton","crystal",8,75.625,76.5,"0",12
"everton","manchester united",24,75.75,78.7142857142857,"1",13
"everton","forest",12,75.5714285714286,75,"0",14
"everton","newcastle",21,76.125,77.8571428571429,"1",15
"luton","brighton",8,72.25,77.5,"0",1
"luton","chelsea",11,72.625,79.375,"0",2
"luton","west",16,72.5,78.6666666666667,"1",3
"luton","fulham",7,72,77.1666666666667,"0",4
"luton","wolves",19,71.875,76.4285714285714,"1",5
"luton","everton",9,71.5,75.5,"0",6
"luton","burnley",18,71.5,74.4285714285714,"1",7
"luton","tottenham",12,71.4285714285714,79,"1",8
"luton","forest",13,71.2857142857143,75.2857142857143,"0",9
"luton","aston",7,72,79.7142857142857,"0",10
"luton","liverpool",8,72.5,82.6666666666667,"1",11
"luton","manchester united",10,72.5,81,"0",12
